,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalIncomeTaxDeficiencyFromShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,0.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1827000.000,,,,1541000.000,,,,1835000.000,,,,1284000.000,,,,1663000.000,,,,2363000.000,,,,3096000.000
AllocatedShareBasedCompensationExpense,,,,,,,,,,,800000.000,,900000.000,1000000.000,1000000.000,700000.000,,,,,,,,,
AmortizationOfIntangibleAssets,,1200000.000,2300000.000,,2700000.000,3000000.000,2600000.000,2400000.000,2600000.000,2600000.000,3600000.000,3400000.000,3500000.000,3600000.000,3600000.000,3400000.000,3100000.000,3200000.000,3500000.000,3400000.000,3700000.000,4200000.000,4200000.000,4300000.000,4300000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,41488.000,220761.000,,291356.000,251686.000,252348.000,,161985.000,324605.000,159639.000,-328203.000,362477.000,200725.000,200665.000,-599853.000,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,0.160,0.080,,,,,,,,,,,,,,,,,,,0.100,0.340,,0.170
BusinessAcquisitionsProFormaNetIncomeLoss,,6676000.000,3128000.000,,6724000.000,11498000.000,19544000.000,16257000.000,-169000.000,621000.000,,,,,,,,,,,,3458000.000,12067000.000,,5698000.000
BusinessAcquisitionsProFormaRevenue,,226050000.000,256000000.000,,230593000.000,257531000.000,265155000.000,278430000.000,3151000.000,4805000.000,,,,,,,,,,,,299165000.000,308524000.000,,326057000.000
BusinessCombinationAcquisitionRelatedCosts,,326000.000,5438000.000,,575000.000,1412000.000,607000.000,530000.000,,1908000.000,2267000.000,,,539000.000,0.000,,323000.000,0.000,457000.000,1132000.000,1031000.000,704000.000,324000.000,637000.000,533000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,,1700000.000,,,,6892000.000,,,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,-2844000.000,,,,0.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-7486000.000,,,,24321000.000,,,,-14719000.000,,,,-14307000.000,,,,-39040000.000,,,,-83837000.000,,,,-41898000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,0.000,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,9689000.000,8126000.000,23816000.000,20428000.000,-6769000.000,12779000.000,12206000.000,12936000.000,1800000.000,14138000.000,-32764000.000,-47062000.000,-13300000.000,6916000.000,11302000.000,-36177000.000,-8286000.000,2569000.000,17022000.000,12544000.000,10231000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,762000.000,98000.000,1533000.000,2108000.000,515000.000,35000.000,290000.000,-91000.000,94000.000,221000.000,285000.000,5000.000,-994000.000,-497000.000,700000.000,-895000.000,85000.000,-313000.000,-365000.000,299000.000,1869000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,10451000.000,8224000.000,25349000.000,22536000.000,-6254000.000,12814000.000,12496000.000,12845000.000,1894000.000,14359000.000,-32479000.000,-47057000.000,-14294000.000,6419000.000,12002000.000,-37072000.000,-8201000.000,2256000.000,16657000.000,12843000.000,12100000.000
ConstructionRevenue,,,,,,,,,3100000.000,,,,,,,,,,,,,,,,
CostOfRevenue,169413000.000,179145000.000,193589000.000,193314000.000,177910000.000,195104000.000,202381000.000,209459000.000,184593000.000,183532000.000,238254000.000,238020000.000,245171000.000,250950000.000,286199000.000,269118000.000,249976000.000,265043000.000,279474000.000,263290000.000,239494000.000,236496000.000,242206000.000,250560000.000,257763000.000
DeferredIncomeTaxExpenseBenefit,-1159000.000,,,,836000.000,,,,365000.000,,,,,,,,,,,,,,,,
DepreciationAndAmortization,7502000.000,,,,9783000.000,,,,9278000.000,,,,10849000.000,,,,10486000.000,,,,11376000.000,,,,11852000.000
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,,700000.000,,,,600000.000,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,,-8128000.000,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,,-4977000.000,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,,,,,,,,,3151000.000,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,,,,,,,,-2161000.000,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,,,,,,,,,,,,0.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,,,,,,1159000.000,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,,,-8339000.000,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,2444000.000,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.080,0.190,0.030,0.370,0.170,0.290,0.500,0.380,0.070,0.340,0.360,0.370,0.120,0.330,-0.450,-0.980,0.040,0.240,0.410,-0.910,-0.110,0.100,0.350,0.510,0.170
EarningsPerShareDiluted,0.080,0.190,0.030,0.370,0.170,0.290,0.490,0.380,0.070,0.340,0.360,0.360,0.120,0.320,-0.450,-0.970,0.040,0.240,0.400,-0.900,-0.110,0.100,0.340,0.510,0.170
EffectOfExchangeRateOnCashAndCashEquivalents,1744000.000,,,,-2032000.000,,,,-4985000.000,,,,818000.000,,,,-3569000.000,,,,-3394000.000,,,,894000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,,0.078,,0.576,0.286,0.291,6.423,0.546,0.228,0.307,-0.908,0.205
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,,100000.000,,,,6000000.000,,,,34000.000,,,,100000.000,,,,18000.000,,,,
EquityMethodInvestmentDividendsOrDistributions,3110000.000,,,,,,,,,,,,684000.000,,,,0.000,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationGrossProfitLoss,,,,,7023000.000,,,,7446000.000,,,,3489000.000,,,,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,,2974000.000,,,,3386000.000,,,,2413000.000,,,,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,,27625000.000,,,,27949000.000,,,,9088000.000,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossRealized,,,,,843000.000,,,,-129000.000,,,,366000.000,,,,-216000.000,,139000.000,,,-500000.000,300000.000,,
GainLossOnForeignCurrencyDerivativesRecordedInEarningsNet,,,,,100000.000,,,,100000.000,,100000.000,,100000.000,100000.000,100000.000,-200000.000,100000.000,100000.000,100000.000,-200000.000,100000.000,100000.000,100000.000,-200000.000,100000.000
GainLossOnSaleOfEquityInvestments,,,,,,,,,,,,,-472000.000,,,,0.000,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,-17000.000,,,,-13000.000,,,,264000.000,,,,-160000.000,,,,200000.000,,,,499000.000,,,,116000.000
