,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-100000.000,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,2800000.000,,,,300000.000,,,,900000.000,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,12900000.000,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,1900000.000,,,,0.000,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,33200000.000,33000000.000,33000000.000,32800000.000,32800000.000,31300000.000,26200000.000,25900000.000,25900000.000,25900000.000,25600000.000,25600000.000,25200000.000,25200000.000,25300000.000,24900000.000,24900000.000,25000000.000,24900000.000,24600000.000,24000000.000,24000000.000,24000000.000,24100000.000,24000000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,0.000,,,,,,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,687000.000,1084000.000,,,,,,1775000.000,1627000.000,1540000.000,-3311000.000,1502000.000,1480000.000,2161000.000,-3689000.000,538000.000,464000.000,432000.000,-899000.000,343000.000,320000.000,841000.000,-1195000.000,80000.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,,,27100000.000,,,,0.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,,,,,,,,,,,,,-11600000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-190500000.000,,,,19400000.000,,,,238700000.000,,,,-1416000000.000,,,,328700000.000,,,,-546600000.000,,,,-580800000.000
ClearingFeesRevenue,691300000.000,687800000.000,732700000.000,,621100000.000,643600000.000,562200000.000,,593200000.000,692500000.000,597900000.000,,652200000.000,609300000.000,641800000.000,713000000.000,708200000.000,681800000.000,715000000.000,678900000.000,796100000.000,767600000.000,704200000.000,768500000.000,792000000.000
CommonStockDividendsPerShareCashPaid,1.400,,,,5.200,,,,0.450,,,,0.470,,,,0.500,,,,0.600,,,,0.660
Communication,9900000.000,10800000.000,11000000.000,10600000.000,10300000.000,10700000.000,9800000.000,9300000.000,8900000.000,8600000.000,9200000.000,8600000.000,8200000.000,8300000.000,7800000.000,7700000.000,7600000.000,6600000.000,7100000.000,6500000.000,6700000.000,6300000.000,6900000.000,6900000.000,6300000.000
ComprehensiveIncomeNetOfTax,805600000.000,,,,319800000.000,194400000.000,223400000.000,256400000.000,256500000.000,234400000.000,260700000.000,167900000.000,291100000.000,294200000.000,213800000.000,182200000.000,298400000.000,295900000.000,260200000.000,305500000.000,,,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,-300000.000,8500000.000,900000.000,1400000.000,,100000.000,-400000.000,,-200000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,319500000.000,202900000.000,224300000.000,257800000.000,258100000.000,234500000.000,260300000.000,167900000.000,290900000.000,294200000.000,213800000.000,182200000.000,298400000.000,295900000.000,260200000.000,305500000.000,476700000.000,405300000.000,382400000.000,336400000.000,424700000.000
CostsAndExpenses,307500000.000,303800000.000,302100000.000,346100000.000,323400000.000,326700000.000,287200000.000,285300000.000,313100000.000,308300000.000,314100000.000,363800000.000,322900000.000,319600000.000,332000000.000,369600000.000,335400000.000,324900000.000,333900000.000,343900000.000,360300000.000,343100000.000,316400000.000,372700000.000,328100000.000
DeferredIncomeTaxExpenseBenefit,-152100000.000,,,,-19200000.000,,,,-7300000.000,,,,25800000.000,,,,500000.000,,,,-400000.000,,,,2200000.000
DepreciationAndAmortization,31000000.000,31700000.000,32400000.000,33400000.000,34900000.000,33600000.000,34500000.000,33900000.000,32600000.000,33200000.000,35000000.000,34300000.000,34100000.000,34300000.000,32700000.000,31500000.000,31800000.000,33300000.000,32400000.000,31700000.000,33900000.000,30400000.000,31200000.000,33700000.000,29400000.000
DividendsCash,93600000.000,,,,347600000.000,,,,150200000.000,,,,157500000.000,,,,,,,,,,,,224200000.000
EarningsPerShareBasic,6.830,4.400,4.760,11.240,4.030,0.740,0.660,-2.720,0.710,0.940,0.710,0.580,0.800,0.790,0.870,0.910,0.980,0.790,1.070,0.870,1.090,0.950,1.400,1.110,1.180
EarningsPerShareDiluted,6.810,4.380,4.740,11.220,4.020,0.740,0.660,-2.720,0.710,0.930,0.710,0.570,0.790,0.790,0.860,0.910,0.980,0.780,1.060,0.870,1.090,0.950,1.390,1.100,1.180
EffectiveIncomeTaxRateContinuingOperations,0.107,,,,,,,,,,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.095,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,5100000.000,,,,,,,,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,2800000.000,,,,300000.000,,,,900000.000,,,,700000.000,,,,3900000.000,,,,0.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,4000000.000
FairValueInputsDiscountRate,,,,,,,,,0.200,,,,0.200,,,,0.200,,,,,,,,
FutureAmortizationExpenseAfterYearFive,,,,,2037300000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseRemainderOfFiscalYear,,,,,93600000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFive,109000000.000,,,,109100000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,114400000.000,,,,109300000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearOne,126200000.000,,,,120200000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,118300000.000,,,,114600000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,120000000.000,,,,118600000.000,,,,,,,,,,,,,,,,,,,,
GainLossOnDerivativeInstrumentsNetPretax,-100000.000,,,,0.000,0.000,0.000,-100000.000,0.000,,,,,,,,-1800000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
GainLossOnSaleOfInvestments,,,,,,,,,,,,,,,,,,,,,,,,,86500000.000
GainLossOnSaleOfOtherAssets,,,,,,20300000.000,,,,,,,,,,,,,,,,,,,
GainOnSaleOfInvestments,,,,,,,,,,,,,,,,,,,,,,,,,86500000.000
GoodwillTranslationAndPurchaseAccountingAdjustments,1800000.000,,,,700000.000,,,,,,,,,,,,,,,,,,,,
ImpairmentOfRealEstate,,,,,,,,,,,,,,,,,,,,,27100000.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,509300000.000,545900000.000,,433400000.000,510700000.000,395800000.000,,387600000.000,507500000.000,398900000.000,307000000.000,446400000.000,422100000.000,429100000.000,473800000.000,523800000.000,448100000.000,516400000.000,468500000.000,578500000.000,566100000.000,548800000.000,594200000.000,707000000.000
IncomeLossFromEquityMethodInvestments,-1100000.000,-1100000.000,-900000.000,-1200000.000,-800000.000,-900000.000,16500000.000,15900000.000,17500000.000,20200000.000,20400000.000,12400000.000,22400000.000,21500000.000,20000000.000,20900000.000,22500000.000,26000000.000,26600000.000,24900000.000,26800000.000,27000000.000,28600000.000,27800000.000,30800000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,,,,,,,,,,,,,11000000.000,,,,-3300000.000,,,,-4200000.000,,,,4300000.000
IncomeTaxExpenseBenefit,54500000.000,213700000.000,230900000.000,-377000000.000,167100000.000,257300000.000,176900000.000,185400000.000,150200000.000,196200000.000,162600000.000,113900000.000,179800000.000,158300000.000,139100000.000,167300000.000,193400000.000,183100000.000,156500000.000,176800000.000,210700000.000,246000000.000,76000000.000,220800000.000,307200000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,48800000.000,,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxesPaid,7000000.000,,,,3800000.000,,,,6400000.000,,,,15800000.000,,,,43900000.000,,,,28100000.000,,,,10100000.000
IncreaseDecreaseInAccountsPayable,6300000.000,,,,-2100000.000,,,,-10400000.000,,,,6900000.000,,,,-3000000.000,,,,3500000.000,,,,12200000.000
IncreaseDecreaseInAccountsReceivable,96400000.000,,,,70300000.000,,,,42100000.000,,,,41900000.000,,,,41800000.000,,,,33300000.000,,,,61500000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,157200000.000,,,,174900000.000,,,,149000000.000,,,,132600000.000,,,,149100000.000,,,,178500000.000,,,,168100000.000
IncreaseDecreaseInOtherAccruedLiabilities,-71000000.000,,,,-45200000.000,,,,-35900000.000,,,,-95400000.000,,,,-85400000.000,,,,-88100000.000,,,,-67800000.000
IncreaseDecreaseInOtherOperatingAssets,19500000.000,,,,-4700000.000,,,,-25400000.000,,,,-16200000.000,,,,11200000.000,,,,5900000.000,,,,-7000000.000
IncreaseDecreaseInOtherOperatingLiabilities,2400000.000,,,,2300000.000,,,,0.000,,,,3600000.000,,,,-1900000.000,,,,-7500000.000,,,,2600000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1000000.000,,,,-1700000.000,,,,-24000000.000,,,,-5900000.000,,,,-4900000.000,,,,100000.000,,,,9300000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,68000.000,,,,,,,,,,,,,,1748000.000,,1736000.000,1760000.000,1816000.000,-3642000.000,1535000.000,1417000.000,1551000.000,-3033000.000,1607000.000
InformationTechnologyAndDataProcessing,12000000.000,13400000.000,13300000.000,13400000.000,12800000.000,12100000.000,11800000.000,14000000.000,12400000.000,13800000.000,13400000.000,14000000.000,13900000.000,14600000.000,13800000.000,15900000.000,15600000.000,16100000.000,15400000.000,17400000.000,17400000.000,17700000.000,17300000.000,18400000.000,18700000.000
InterestAndDebtExpense,30100000.000,28700000.000,29000000.000,29100000.000,29100000.000,28900000.000,30200000.000,44000000.000,39000000.000,39200000.000,34600000.000,38600000.000,33700000.000,28300000.000,28700000.000,28700000.000,31600000.000,28600000.000,28300000.000,28900000.000,29800000.000,31000000.000,31100000.000,31600000.000,29800000.000
