,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-772000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,,,,,,,11000000.000,,5900000.000,7100000.000
AmortizationOfIntangibleAssets,,3700000.000,3800000.000,,4000000.000,4400000.000,4700000.000,4500000.000,4900000.000,4900000.000,5200000.000,17500000.000,14600000.000,16300000.000,18100000.000,40000000.000,63100000.000,87200000.000,181500000.000,42300000.000,65600000.000,62300000.000,60900000.000,63100000.000,61900000.000,68900000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,7967000.000,,,2703000.000,5913000.000,,,0.000,0.000,,,,,,,,,,,,,,,,
BusinessCombinationIntegrationRelatedCosts,,,,,,,,,,,,,,,,,,,,,,,10300000.000,,,
CapitalLeaseObligationsIncurred,,,,,,,,,,,,,14200000.000,,,,,,,,,,,,,
CapitalizedComputerSoftwareAmortization,,,,,,,,,,,,,,23900000.000,23800000.000,,38800000.000,41100000.000,32200000.000,62300000.000,,,,,,
CapitalizedComputerSoftwareAmortization1,,,,,,,,,,,,,,,,,,,,,34400000.000,44000000.000,44200000.000,36300000.000,36300000.000,36100000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-5690000.000,,,,,,,,,,,,,,,,,,,,,,,,18900000.000,
ComprehensiveIncomeNetOfTax,,,-56016000.000,,27241000.000,-40448000.000,-113000.000,-19467000.000,-51264000.000,-12172000.000,38806000.000,15730000.000,-45500000.000,-68200000.000,-124900000.000,-108400000.000,-196700000.000,-79100000.000,-727200000.000,-519100000.000,-94700000.000,-81900000.000,-93700000.000,-194800000.000,-64700000.000,-7400000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,20823000.000,,,,,,,,,,,,,,,,,,,,,,,,
ContributionOfProperty,11600000.000,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold,,118954000.000,124679000.000,,132749000.000,127931000.000,128816000.000,139213000.000,124718000.000,133374000.000,126539000.000,207069000.000,182800000.000,192400000.000,199200000.000,275000000.000,255400000.000,275300000.000,250000000.000,323400000.000,256300000.000,276200000.000,274300000.000,299500000.000,280000000.000,278900000.000
CostOfGoodsSold,5690000.000,5361000.000,10332000.000,16957000.000,16927000.000,14238000.000,12784000.000,21104000.000,10291000.000,15660000.000,13311000.000,64238000.000,46400000.000,54900000.000,59900000.000,113100000.000,97900000.000,107900000.000,87400000.000,112300000.000,94400000.000,100700000.000,104600000.000,124900000.000,106600000.000,108700000.000
CostOfServices,38922000.000,41460000.000,42562000.000,48430000.000,45859000.000,45273000.000,42947000.000,47029000.000,46233000.000,46204000.000,42583000.000,68080000.000,66500000.000,64600000.000,69600000.000,83000000.000,90500000.000,98600000.000,85500000.000,98100000.000,94900000.000,101400000.000,98000000.000,102200000.000,103300000.000,98900000.000
DeferredIncomeTaxExpenseBenefit,621000.000,,,,263000.000,,,,780000.000,,,,,,,,,,,,,,,,,
DeferredRevenueAdditions,,,,,,,,,,,,,,,,,,,,,,,,,45800000.000,
DeferredRevenueRevenueRecognized1,,,,,,,,,,,,,,,,,,,,,,,,,51800000.000,
DefinedBenefitPlanAmortizationOfGainsLosses,,-95000.000,-95000.000,,-251000.000,-251000.000,-135000.000,,-261000.000,-261000.000,-261000.000,,-200000.000,-100000.000,-200000.000,,-300000.000,-300000.000,-300000.000,,-200000.000,,,,,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,-3000.000,-54000.000,,-19000.000,-19000.000,-113000.000,,-65000.000,-65000.000,-65000.000,,-100000.000,0.000,-100000.000,,0.000,-100000.000,-100000.000,,-100000.000,,,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,1162000.000,1161000.000,,1227000.000,1227000.000,1436000.000,,1409000.000,1409000.000,1409000.000,,1600000.000,1700000.000,1600000.000,,1700000.000,1700000.000,1700000.000,,1600000.000,,,,,
DefinedBenefitPlanInterestCost,,1173000.000,1114000.000,,1147000.000,1147000.000,1135000.000,,1186000.000,1186000.000,1186000.000,,1300000.000,1300000.000,1300000.000,,1200000.000,1200000.000,1200000.000,,1200000.000,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,,565000.000,583000.000,,720000.000,720000.000,149000.000,,612000.000,612000.000,612000.000,,500000.000,400000.000,500000.000,,500000.000,400000.000,400000.000,,300000.000,400000.000,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToCurtailments,,,,,,,,,,,,,-100000.000,-100000.000,0.000,,0.000,0.000,0.000,,,,,,,
DefinedBenefitPlanServiceCost,,462000.000,589000.000,,568000.000,568000.000,428000.000,,639000.000,639000.000,639000.000,,600000.000,600000.000,700000.000,,700000.000,700000.000,700000.000,,600000.000,,,,,
DefinedContributionPlanCostRecognized,,,,,,,,,,,,,,,,,,,,,2900000.000,2900000.000,2800000.000,,,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,,,,,,,,,,,,,,,0.060,,,,0.350,,,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,,,,,,,,,,,,,,,,,,,0.060,,,,,
Depreciation,,,,,,,,,,,,,52500000.000,55800000.000,58500000.000,102800000.000,82300000.000,93900000.000,72800000.000,105700000.000,80600000.000,86800000.000,80900000.000,74800000.000,66900000.000,70000000.000
DepreciationDepletionAndAmortization,30904000.000,29004000.000,27994000.000,30701000.000,30518000.000,39086000.000,39241000.000,64525000.000,32769000.000,43064000.000,35219000.000,91348000.000,94100000.000,96000000.000,100400000.000,163800000.000,184200000.000,222200000.000,286500000.000,210300000.000,180600000.000,193100000.000,191700000.000,173300000.000,165100000.000,175000000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,-1911000.000,-771000.000,-111000.000,,0.000,0.000,0.000,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,-262000.000,-180000.000,-26000.000,2868000.000,0.000,0.000,0.000,0.000,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,828000.000,,,,0.000,0.000,0.000,,,,,,,,,,,
