,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdditionsToNoncurrentAssets,,,,,17500000.000,36300000.000,35300000.000,57100000.000,38100000.000,43300000.000,,,,,,,,,,,,,,,
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,34800000.000,,,,4000000.000,,,,,,,,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-5500000.000,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,15700000.000,,,,22000000.000,,,,16600000.000,,,,26200000.000,,,,15300000.000,,,,18300000.000,,,,52700000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,20500000.000,,,,19900000.000,,,,3200000.000,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,,,,,,176500000.000,73900000.000,,52700000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,,,,,,,,,,,,,,,,135000000.000,47000000.000,,39600000.000
AllowanceForDoubtfulAccountsReceivableChargeOffs,,,,,,,,,73300000.000,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,,,,,,,,,,81200000.000,,,,82600000.000,,,,123300000.000,,,,304500000.000
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,,,,,,,,,,,3200000.000
AmortizationOfIntangibleAssets,,,,,,,,,45900000.000,,,,,,,,88300000.000,,,,134600000.000,,,,364000000.000
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,,,,,,,,,,,,,0.376,,,,,,,,,,,,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,,,,,,,,,,,,,0.374,,,,,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,,,,219400000.000,,,,,,,,401600000.000,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,1378600000.000,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,-6400000.000,9000000.000,5300000.000,5800000.000,5300000.000,7100000.000,2700000.000,10100000.000,4100000.000,17400000.000,18400000.000,-174000000.000,6600000.000,112100000.000,37100000.000,3000000.000,75700000.000,-212400000.000,89900000.000,86600000.000,91100000.000,363000000.000,284500000.000,145300000.000,116000000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,-59200000.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,161400000.000,,,,259400000.000,,,,-31500000.000,,,,-2100300000.000,,,,-2908100000.000,,,,-66500000.000,,,,-159800000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,,,,,,,,,,,,,,,,,,,2000000.000
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,,,,,,,,,,,,0.220,0.000,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,,,,,,0.000,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,,27000000.000,261200000.000,327300000.000,72900000.000,233000000.000,534400000.000,386400000.000,2110000000.000,281600000.000,208400000.000,409200000.000,251900000.000,443400000.000,-388500000.000,-135200000.000,-906100000.000,645500000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,294400000.000,241000000.000,77100000.000,227100000.000,277900000.000,186600000.000,251100000.000,,,,,,,,,,,,,,,,,,
CostOfGoodsSold,124500000.000,143700000.000,166500000.000,153400000.000,158400000.000,152500000.000,167900000.000,166600000.000,155900000.000,175700000.000,197100000.000,142100000.000,229500000.000,277000000.000,254300000.000,218500000.000,227800000.000,228000000.000,262700000.000,250500000.000,248600000.000,778100000.000,1736200000.000,1053600000.000,1327000000.000
